ā	阿▲啊▲
á	啊▲
ǎ	啊▲
à	啊▲
a	啊▲
āi	哀挨埃哎唉▲
ái	捱癌
ǎi	矮藹
ài	愛曖艾▲唉▲礙隘
ān	安鞍氨庵諳
ǎn	俺
àn	按案暗黯岸
āng	骯
áng	昂
àng	盎
āo	凹熬▲
áo	熬▲遨
ǎo	襖拗▲
ào	奧澳懊傲拗▲
bā	八扒▲叭巴芭疤吧▲笆捌
bá	拔跋
bǎ	把▲靶
bà	把▲耙▲爸霸壩罷
ba	吧▲
bāi	掰
bái	白
bǎi	百伯▲柏▲擺
bài	敗拜
bān	班斑般搬頒扳
bǎn	板版舨闆
bàn	半伴拌絆扮辦瓣
bāng	邦幫
bǎng	榜膀▲綁
bàng	傍磅▲鎊膀▲謗蚌▲棒
bāo	包胞孢苞剝▲炮▲褒
báo	薄▲雹
bǎo	保堡▲寶飽
bào	報暴爆曝▲豹抱刨▲鮑
bēi	悲杯卑碑背▲
běi	北
bèi	倍焙背▲備憊被輩貝狽
bei	臂▲
bēn	奔▲
běn	本苯
bèn	笨奔▲
bēng	崩繃▲
běng	繃▲
bèng	蹦繃▲泵迸蚌▲
bī	逼
bí	鼻荸
bǐ	比秕彼筆鄙匕
bì	避弊幣蔽斃閉庇必泌▲秘▲辟壁璧臂▲碧畢婢裨蓖痹
biān	邊編鞭蝙
biǎn	扁▲匾貶
biàn	變便▲遍辯辨辮
biāo	標膘飆彪
biǎo	表錶
biē	憋鱉癟
bié	別
biè	彆
bīn	賓濱檳繽彬瀕
bìn	殯鬢
bīng	冰兵屏▲
bǐng	餅丙柄稟秉屏▲
bìng	病並併摒
bō	波玻菠播剝▲撥砵
bó	伯▲泊▲舶柏▲箔薄▲博搏膊脖勃渤駁帛
bǒ	跛簸▲
bò	薄▲柏▲簸▲
bo	蔔
bǔ	補捕哺卜堡▲
bù	布佈怖步部埠不埔▲簿
cā	擦
cāi	猜
cái	才財材裁
cǎi	采採彩綵踩睬
cài	菜蔡
cān	參▲餐
cán	慚殘蠶
cǎn	慘
càn	燦孱▲摻▲
cāng	倉蒼艙滄
cáng	藏▲
cāo	操糙
cáo	曹嘈槽
cǎo	草
cè	廁側測惻冊策
cēn	參▲
cén	岑
céng	曾▲層
cèng	蹭
chā	差▲插喳▲叉▲杈▲
chá	查▲茶察叉▲碴茬
chǎ	叉▲衩▲
chà	差▲詫岔剎▲叉▲杈▲衩▲
chāi	差▲拆
chái	柴豺
chān	攙摻▲
chán	單▲蟬禪▲嬋孱▲饞纏
chǎn	產鏟闡
chàn	顫▲懺
chāng	昌猖
cháng	長▲場▲腸常嘗償嫦徜裳▲
chǎng	場▲敞廠
chàng	唱倡暢悵
chāo	抄鈔吵▲超綽▲剿▲
cháo	朝▲潮嘲巢
chǎo	吵▲炒
chē	車▲
chě	扯
chè	徹撤澈掣
chēn	琛
chén	陳塵臣晨辰沈▲忱
chèn	趁稱▲襯
chēng	稱▲撐鐺▲
chéng	成城誠盛▲呈程丞承乘▲懲澄▲橙
chěng	逞騁
chèng	秤
chī	吃癡嗤
chí	池馳弛遲匙▲持踟
chǐ	齒耻尺呎侈豉
chì	翅赤斥叱熾
chōng	充沖忡衝▲憧
chóng	蟲重▲崇种
chǒng	寵
chòng	衝▲
chōu	抽
chóu	籌躊疇酬綢稠惆仇▲愁
chǒu	醜丑
chòu	臭▲
chū	初出
chú	除廚櫥躕鋤躇雛
chǔ	處▲礎楚儲
chù	處▲畜▲搐觸矗絀
chuāi	揣▲
chuǎi	揣▲
chuài	揣▲
chuān	穿川
chuán	船傳▲
chuǎn	喘
chuàn	串
chuāng	窗創▲瘡
chuáng	床幢▲
chuǎng	闖
chuàng	創▲
chuī	吹炊
chuí	垂捶錘陲鎚
chūn	春椿
chún	純唇淳醇
chǔn	蠢
chuō	戳
chuò	啜輟綽▲
cī	差▲疵
cí	辭詞祠慈磁瓷雌
cǐ	此
cì	次刺賜伺▲
cōng	聰蔥匆囪
cóng	從叢
còu	湊
cū	粗
cù	醋促簇卒▲猝
cuān	汆
cuán	攢▲
cuàn	篡竄
cuī	催摧崔
cuǐ	璀
cuì	翠粹悴萃脆
cūn	村
cún	存蹲▲
cùn	寸吋
cuō	搓磋撮▲
cuò	錯措挫銼
dā	答▲搭
dá	打▲達答▲瘩沓▲
dǎ	打▲
dà	大▲
dāi	呆
dǎi	歹逮▲
dài	代待帶袋戴貸怠殆黛玳大▲逮▲
dān	單▲丹擔▲耽眈
dǎn	膽撣
dàn	蛋旦但擔▲澹淡彈▲憚誕氮石▲
dāng	當▲噹襠鐺▲
dǎng	黨擋
dàng	盪蕩當▲檔宕
dāo	刀叨▲
dáo	叨▲
dǎo	導蹈禱島搗倒▲
dào	到道稻盜悼倒▲
dé	得▲德
de	的▲地▲得▲
děi	得▲
dēng	登燈蹬▲
děng	等
