*阿	ā
阿姨	āyí
挨	āi
挨	ái
矮	ăi
*愛	ài
*愛國	àiguó
愛好	àihào
愛護	àihù
*愛情	àiqíng
*愛人	ài·ren
*安	ān
安定	āndìng
安靜	ānjìng
*安排	ānpái
*安全	ānquán
*安慰	ānwèi
安心	ānxīn
安置	ānzhì
安裝	ānzhuāng
氨	ān
氨基酸	ānjīsuān
岸	àn
*按	àn
*按照	ànzhào
*案	àn
*案件	ànjiàn
*暗	àn
暗示	ànshì
暗中	ànzhōng
凹	āo
熬	āo
熬	áo
奧秘	àomì
奧運會	Àoyùnhuì
*八	bā
巴	bā
扒	bā
拔	bá
*把	bă
*把握	băwò
*把兒	bàr
爸	bà
爸爸	bà·ba
*罷	bà
罷工	bàgōng
*白	bái
*白色	báisè
*白天	báitiān
*百	băi
百年	băinián
百姓	băixìng
*擺	băi
擺動	băidòng
*擺脫	băituō
拜	bài
敗	bài
*班	bān
*般	bān
搬	bān
搬家	bānjiā
搬運	bānyùn
頒佈	bānbù
*板	băn
板凳	băndèng
板塊	bănkuài
版	băn
*半	bàn
半島	bàndăo
半導體	bàndăotĭ
*半天	bàntiān
半夜	bànyè
伴	bàn
伴隨	bànsuí
伴奏	bànzòu
扮演	bànyăn
*辦	bàn
*辦法	bànfă
*辦公室	bàngōngshì
*辦理	bànlĭ
*辦事	bànshì
瓣	bàn
*幫	bāng
幫忙	bāngmáng
*幫助	bāngzhù
榜樣	băngyàng
傍晚	bàngwăn
*棒	bàng
*包	bāo
包袱	bāo·fu
包乾兒	bāogānr
*包含	bāohán
*包括	bāokuò
*包圍	bāowéi
包裝	bāozhuāng
孢子	bāozĭ
炮	bāo
*薄	báo
*保	băo
*保持	băochí
*保存	băocún
保管	băoguăn
*保護	băohù
*保留	băoliú
保守	băoshŏu
*保衛	băowèi
保險	băoxiăn
*保障	băozhàng
*保證	băozhèng
飽	băo
*飽和	băohé
寶	băo
寶貝	băobèi
寶貴	băoguì
寶石	băoshí
*抱	bào
*報	bào
*報酬	bào·chóu
*報道	bàodào
報復	bào·fù
*報告	bàogào
*報刊	bàokān
報名	bàomíng
*報紙	bàozhĭ
暴動	bàodòng
暴力	bàolì
*暴露	bàolù
暴雨	bàoyŭ
*爆發	bàofā
*爆炸	bàozhà
*杯	bēi
*背	bēi
悲哀	bēi'āi
悲慘	bēicăn
*悲劇	bēijù
*北	běi
*北方	běifāng
貝	bèi
*背	bèi
*背後	bèihòu
*背景	bèijĭng
*倍	bèi
*被	bèi
被動	bèidòng
被告	bèigào
被子	bèi·zi
備	bèi
輩	bèi
奔	bēn
奔跑	bēnpăo
*本	běn
本地	běndì
*本來	běnlái
*本領	běnlĭng
本能	běnnéng
*本人	běnrén
*本身	běnshēn
本事	běnshì
本事	běn·shi
本體	běntĭ
本性	běnxìng
*本質	běnzhì
苯	běn
奔	bèn
笨	bèn
崩潰	bēngkuì
蹦	bèng
逼	bī
鼻	bí
鼻孔	bíkŏng
*鼻子	bí·zi
*比	bĭ
*比較	bĭjiào
*比例	bĭlì
*比如	bĭrú
*比賽	bĭsài
比喻	bĭyù
*比重	bĭzhòng
彼	bĭ
*彼此	bĭcĭ
*筆	bĭ
筆記	bĭjì
筆者	bĭzhě
*必	bì
必定	bìdìng
*必然	bìrán
*必須	bìxū
必需	bìxū
*必要	bìyào
*畢竟	bìjìng
*畢業	bìyè
閉	bì
閉合	bìhé
*壁	bì
壁畫	bìhuà
避	bì
*避免	bìmiăn
臂	bì
*編	biān
編輯	biānjí
編寫	biānxiě
*編制	biānzhì
*邊	biān
邊疆	biānjiāng
邊界	biānjiè
邊境	biānjìng
邊區	biānqū
邊緣	biānyuán
鞭	biān
鞭子	biān·zi
扁	biăn
*便	biàn
便利	biànlì
*便於	biànyú
*遍	biàn
辨	biàn
辨別	biànbié
辨認	biànrèn
辯護	biànhù
*辯證	biànzhèng
*變	biàn
*變動	biàndòng
變法	biànfă
*變革	biàngé
變更	biàngēng
*變化	biànhuà
變換	biànhuàn
變遷	biànqiān
變態	biàntài
變形	biànxíng
變異	biànyì
標	biāo
標本	biāoběn
標題	biāotí
標語	biāoyŭ
*標誌	biāozhì
