哀	āi
哀愁	āichóu
哀傷	āishāng
哀怨	āiyuàn
捱	ái
癌	ái
*癌症	áizhèng
矮小	ǎixiǎo
艾	ài
愛不釋手	àibùshìshŏu
愛戴	àidài
愛理不理	àilǐbùlǐ
愛戀	àiliàn
愛侶	àilǚ
愛慕	àimù
*愛心	àixīn
曖昧	àimèi
礙	ài
礙於	àiyú
安頓	āndùn
安撫	ānfŭ
安魂曲	ānhúnqŭ
安居樂業	ānjūlèyè
*安老院	ānlǎoyuàn
安樂	ānlè
安理會	ānlǐhuì
安眠藥	ānmiányào
安寧	ānníng
安全帶	ānquándài
安全感	ānquángǎn
安然	ānrán
安穩	ānwĕn
安息	ānxī
安息日	Ānxīrì
安詳	ānxiáng
安享	ānxiǎng
安逸	ānyì
安葬	ānzàng
按部就班	ànbùjiùbān
按鍵	ànjiàn
*按揭	ànjiē
*按摩	ànmó
按鈕	ànniŭ
按時	ànshí
按壓	ànyā
*案例	ànlì
*案情	ànqíng
暗藏	àncáng
暗戀	ànliàn
暗室	ànshì
暗喻	ànyù
暗自	ànzì
黯	àn
黯然	ànrán
黯然失色	ànránshīsè
骯髒	āngzāng
昂	áng
*昂貴	ángguì
昂首	ángshŏu
盎然	àngrán
凹凸不平	āotūbùpíng
凹陷	āoxiàn
遨遊	áoyóu
熬製	áozhì
熬日子	áorì·zi
熬藥	áoyào
襖	ǎo
拗	ào
傲	ào
傲慢	àomàn
傲視	àoshì
奧	ào
奧妙	àomiào
*奧斯卡	Àosīkǎ
澳	ào
*八成	bāchéng
八哥兒	bāgēr
八卦	bāguà
八字	bāzì
*巴士	bāshì
芭比	Bābǐ
芭蕉	bājiāo
*芭蕾	bālĕi
*芭蕾舞	bālĕiwŭ
拔刀相助	bádāoxiāngzhù
拔河	báhé
拔尖兒	bájiānr
跋涉	báshè
把風	bǎfēng
把門	bǎmén
把玩	bǎwán
*罷了	bà·le
罷免	bàmiǎn
霸	bà
霸氣	bàqì
霸主	bàzhŭ
白癡	báichī
白瓷	báicí
白癲瘋	báidiānfēng
*白髮	báifà
白飯	báifàn
白費	báifèi
白果	báiguŏ
白話	báihuà
白話文	báihuàwén
*白酒	báijiŭ
白蘭地	báilándì
白領	báilǐng
白茫茫	báimángmáng
白描	báimiáo
白內障	báinèizhàng
白木耳	báimù'ěr
白皮書	báipíshū
白切雞	báiqiējī
白熱化	báirèhuà
白薯	báishŭ
白頭	báitóu
白血病	báixuèbìng
白血球	báixuèqiú
白字	báizì
百步穿楊	bǎibùchuānyáng
*百分比	bǎifēnbǐ
百廢待興	bǎifèidàixīng
百合	bǎihé
百花齊放	bǎihuāqífàng
百貨	bǎihuò
百聽不厭	bǎitīngbùyàn
百無聊賴	bǎiwúliáolài
柏	bǎi
柏油	bǎiyóu
*擺放	bǎifàng
擺架子	bǎijià·zi
擺設	bǎi·shè
拜祭	bàijì
拜師	bàishī
拜託	bàituō
*敗訴	bàisù
扳	bān
扳平	bānpíng
扳手	bānshŏu
*班次	bāncì
班底	bāndǐ
班級	bānjí
班長	bānzhǎng
斑	bān
斑駁	bānbó
斑點	bāndiǎn
斑馬	bānmǎ
斑馬線	bānmǎxiàn
斑痕	bānhén
斑斕	bānlán
斑紋	bānwén
頒	bān
頒發	bānfā
*頒獎	bānjiǎng
搬離	bānlí
搬遷	bānqiān
板擦	bǎncā
板書	bǎnshū
*版本	bǎnbĕn
版畫	bǎnhuà
*版權	bǎnquán
版圖	bǎntú
半邊	bànbiān
半價	bànjià
半空	bànkōng
半票	bànpiào
半日	bànrì
半身	bànshēn
半生	bànshēng
半死	bànsǐ
半途	bàntú
半信半疑	bànxìnbànyí
半子	bànzǐ
拌	bàn
絆	bàn
絆倒	bàndǎo
扮	bàn
*辦事處	bànshìchù
*辦學	bànxué
幫會	bānghuì
榜	bǎng
膀	bǎng
傍	bàng
磅	bàng
*棒球	bàngqiú
包藏	bāocáng
*包裹	bāoguŏ
包機	bāojī
包容	bāoróng
包銷	bāoxiāo
包紮	bāozā
包裝紙	bāozhuāngzhǐ
苞	bāo
胞	bāo
剝	bāo
雹	báo
薄餅	báobǐng
*保安	bǎo'ān
保安員	bǎo'ānyuán
保本	bǎobĕn
*保額	bǎo'é
*保單	bǎodān
*保費	bǎofèi
*保薦	bǎojiàn
保良局	bǎoliángjú
*保齡球	bǎolíngqiú
*保密	bǎomì
保暖	bǎonuǎn
保釋	bǎoshì
保稅	bǎoshuì
*保鮮	bǎoxiān
*保養	bǎoyǎng
保佑	bǎoyòu
*保育	bǎoyù
*保證金	bǎozhèngjīn
保值	bǎozhí
保質期	bǎozhìqī
堡	bǎo
*堡壘	bǎolĕi
飽覽	bǎolǎn
飽滿	bǎomǎn
飽暖	bǎonuǎn
飽受	bǎoshòu
飽學	bǎoxué
寶寶	bǎo·bǎo
寶玉	bǎoyù
寶藏	bǎozàng
寶座	bǎozuò
報案	bào'àn
報表	bàobiǎo
*報關	bàoguān
報館	bàoguǎn
*報價	bàojià
*報警	bàojǐng
報失	bàoshī
報時	bàoshí
報稅	bàoshuì
報攤	bàotān
報業	bàoyè
報應	bào·yìng
*報章	bàozhāng
抱歉	bàoqiàn
*鮑魚	bàoyú
豹	bào
暴	bào
暴斃	bàobì
暴風雨	bàofēngyŭ
暴利	bàolì
暴亂	bàoluàn
暴曬	bàoshài
暴躁	bàozào
曝光	bàoguāng
爆	bào
爆發力	bàofālì
爆裂	bàoliè
爆滿	bàomǎn
爆炸力	bàozhàlì
卑	bēi
卑賤	bēijiàn
卑劣	bēiliè
卑微	bēiwēi
碑	bēi
碑記	bēijì
碑林	bēilín
碑文	bēiwén
背負	bēifù
悲	bēi
悲觀	bēiguān
悲涼	bēiliáng
悲憫	bēimǐn
悲傷	bēishāng
悲天憫人	bēitiānmǐnrén
悲痛	bēitòng
悲喜	bēixǐ
悲壯	bēizhuàng
北邊	bĕibiān
北方人	bĕifāngrén
北風	bĕifēng
北極	Bĕijí
北極熊	bĕijíxióng
*貝殼	bèiké
背部	bèibù
背道而馳	bèidào'érchí
背脊	bèijǐ
背囊	bèináng
背誦	bèisòng
背向	bèixiàng
背影	bèiyǐng
被單	bèidān
*被迫	bèipò
被套	bèitào
被窩兒	bèiwōr
備案	bèi'àn
備份	bèifèn
備課	bèikè
*備忘錄	bèiwànglù
*備用	bèiyòng
*備戰	bèizhàn
備註	bèizhù
輩出	bèichū
奔波	bēnbō
奔放	bēnfàng
奔走	bēnzŏu
本部	bĕnbù
本分	bĕnfèn
*本金	bĕnjīn
*本科	bĕnkē
本利	bĕnlì
本票	bĕnpiào
*本土	bĕntŭ
本息	bĕnxī
本意	bĕnyì
本子	bĕn·zi
笨蛋	bèndàn
崩	bēng
崩塌	bēngtā
迸	bèng
迸發	bèngfā
泵	bèng
逼和	bīhé
逼真	bīzhēn
荸薺	bí·qí
